4	43	1
4	54	1
4	95	7
4	128	1
4	295	1
4	630	1
4	802	1
4	851	1
4	927	2
4	928	1
5	29	1
5	43	6
5	44	4
5	45	2
5	73	1
5	88	1
5	95	8
5	99	1
5	107	1
5	113	1
5	128	1
5	131	2
5	142	4
5	160	1
5	188	1
5	201	2
5	204	1
5	211	1
5	232	1
5	237	1
5	240	6
5	260	1
5	310	1
5	311	4
5	315	2
5	387	3
5	403	2
5	413	12
5	432	3
5	456	2
5	477	1
5	480	5
5	490	1
5	509	2
5	514	6
5	531	3
5	551	1
5	567	5
5	575	2
5	624	5
5	630	1
5	640	1
5	662	1
5	679	2
5	683	1
5	685	2
5	714	3
5	731	6
5	742	1
5	753	1
5	768	3
5	781	2
5	786	2
5	802	1
5	817	1
5	831	3
5	843	2
5	868	1
5	870	6
5	877	2
5	883	1
5	922	3
5	927	1
13	71	4
13	73	1
13	99	1
13	116	2
13	124	2
13	151	3
13	160	5
13	203	1
13	216	1
13	218	1
13	301	1
13	331	1
13	355	7
13	372	2
13	377	2
13	408	1
13	429	1
13	472	1
13	491	1
13	560	2
13	618	1
13	649	1
13	706	3
13	782	2
13	804	5
13	851	1
13	873	1
13	881	2
13	883	1
15	87	2
15	169	2
15	303	2
15	359	1
15	428	2
15	524	2
15	534	1
15	614	2
15	886	1
15	911	2
21	355	2
21	361	2
21	701	2
21	871	2
21	872	2
24	29	2
24	77	1
24	159	2
24	284	2
24	382	2
24	564	2
24	803	1
27	156	1
27	218	1
27	355	1
27	434	1
27	464	1
27	645	1
27	705	1
29	31	4
29	51	1
29	77	1
29	80	2
29	88	3
29	104	2
29	107	3
29	118	2
29	159	15
29	185	1
29	187	3
29	188	1
29	200	2
29	216	2
29	222	3
29	232	2
29	243	1
29	244	3
29	255	2
29	278	2
29	280	1
29	284	4
29	297	3
29	346	3
29	347	1
29	355	1
29	382	2
29	394	1
29	450	2
29	472	3
29	481	2
29	490	3
29	493	3
29	518	1
29	550	2
29	551	3
29	564	2
29	575	2
29	648	5
29	705	2
29	709	1
29	710	3
29	735	5
29	745	1
29	789	1
29	803	4
29	822	6
31	243	3
31	244	5
31	346	5
31	347	2
31	394	1
31	450	4
31	518	2
31	528	2
31	610	1
31	644	2
31	648	8
31	735	11
31	796	1
31	822	11
31	863	1
37	183	1
37	309	2
37	312	2
37	349	1
37	359	2
37	388	6
37	405	1
37	455	2
37	464	1
37	544	1
37	758	1
37	829	1
37	874	2
37	883	7
43	95	1
43	128	2
43	211	1
43	432	3
43	514	4
43	624	4
43	802	2
44	387	3
44	480	4
44	731	4
44	768	1
44	870	1
45	201	1
45	679	2
47	210	2
47	229	2
47	389	2
47	768	2
47	824	2
47	842	2
47	851	2
48	66	2
48	427	3
48	612	3
48	645	3
48	811	1
48	831	3
48	864	3
51	159	2
51	185	2
51	280	2
51	789	2
54	95	1
54	113	1
54	355	1
54	547	1
54	831	1
54	851	1
54	909	1
54	928	1
56	831	3
