2	254	2
10	213	3
11	15	1
11	61	1
11	329	1
12	254	2
15	257	2
15	329	3
24	61	2
27	55	1
27	84	1
27	164	6
27	214	6
27	243	6
27	380	1
28	61	2
33	142	3
36	154	2
36	352	1
36	359	2
36	364	1
41	119	1
41	171	7
41	362	1
44	243	2
44	307	1
45	61	3
47	61	1
47	238	1
47	370	3
54	243	3
54	319	2
55	164	1
55	214	1
55	243	3
55	307	1
61	119	3
61	220	2
61	238	1
61	271	4
61	285	1
61	316	2
61	321	2
61	333	2
61	352	3
61	370	3
64	86	2
64	160	2
68	119	2
68	168	2
72	243	2
77	171	2
78	97	1
78	243	2
84	110	1
84	164	1
84	214	1
84	243	2
84	248	1
84	380	2
86	160	2
86	162	2
86	168	1
86	290	3
86	341	2
97	243	2
99	243	7
102	144	2
102	243	2
110	242	1
110	243	3
110	248	1
110	380	1
112	171	2
112	344	1
117	243	3
117	327	3
118	120	3
119	168	2
119	171	1
119	254	1
119	285	2
119	321	2
119	362	1
120	202	2
120	370	1
131	243	3
138	163	1
138	243	2
142	184	2
142	254	1
142	326	1
142	366	1
144	243	2
150	243	3
154	352	1
159	242	4
159	243	6
159	248	1
162	341	2
163	243	4
164	214	6
164	243	6
164	380	1
169	178	2
169	238	2
171	344	2
171	362	3
171	368	2
171	370	1
178	238	2
179	240	1
179	243	2
179	247	1
179	253	2
188	243	4
188	348	1
204	243	8
213	339	1
213	364	1
214	243	6
214	380	1
238	326	1
238	370	1
240	243	2
240	247	1
240	253	1
242	243	10
243	247	2
243	248	7
243	253	3
243	254	1
243	274	2
243	307	3
243	319	2
243	327	3
243	348	2
243	374	3
243	380	2
247	253	1
248	380	1
254	285	1
254	326	1
254	366	1
257	329	2
326	366	1
