4	13	2
8	295	2
13	35	3
13	92	2
13	99	1
13	109	2
13	126	1
13	133	2
13	167	2
13	168	2
13	169	2
13	185	1
13	198	1
13	295	1
24	281	2
25	255	2
36	109	3
36	132	3
36	185	2
36	295	3
42	281	1
42	295	2
43	221	1
43	255	2
45	255	2
45	266	1
48	53	2
48	63	1
48	276	1
48	304	2
63	276	2
67	241	2
67	281	2
68	255	2
79	99	2
89	99	2
89	236	2
89	307	1
99	115	3
99	126	1
99	129	1
99	198	1
99	236	5
99	241	1
99	249	1
99	273	2
99	276	1
99	307	1
101	106	2
106	241	1
109	116	1
109	132	3
109	185	3
109	245	2
109	263	2
109	271	2
109	288	2
109	295	9
114	179	2
114	187	2
114	235	2
114	255	2
114	272	2
115	129	1
115	198	1
115	236	2
116	295	2
128	249	1
128	281	2
129	198	1
129	236	1
129	276	1
129	277	1
132	185	2
132	295	3
133	169	2
137	241	1
137	281	3
143	281	2
146	174	2
146	229	2
146	295	2
154	176	2
154	177	2
154	201	2
154	211	2
154	246	2
154	255	2
159	278	3
172	281	2
174	229	2
174	295	2
176	177	2
176	201	2
176	211	2
176	246	2
176	255	2
177	201	2
177	211	2
177	246	2
177	255	2
179	187	2
179	235	2
179	255	2
179	272	2
185	295	2
187	235	2
187	255	2
187	272	2
192	281	1
198	236	1
201	211	2
201	246	2
201	255	2
207	295	2
211	246	2
211	255	2
221	255	2
223	295	2
229	295	2
235	255	2
235	272	2
236	249	1
236	307	1
241	281	7
245	263	2
245	271	2
245	288	2
245	295	2
246	255	2
249	281	1
255	266	1
255	272	2
255	276	3
263	271	2
263	288	2
263	295	2
271	288	2
271	295	2
276	277	2
276	281	1
276	295	1
278	295	2
281	307	1
288	295	2
292	295	2
